Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;Median;Allocated
CreateCustomer;Job-CNUJVU;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;2.559 ms;0.0828 ms;0.2390 ms;2.541 ms;122.01 KB
ReadCustomer;Job-CNUJVU;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;1.467 ms;0.1248 ms;0.3438 ms;1.356 ms;104.69 KB
UpdateCustomer;Job-CNUJVU;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;1.500 ms;0.1809 ms;0.5249 ms;1.241 ms;106.13 KB
DeleteCustomer;Job-CNUJVU;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;2.225 ms;0.1534 ms;0.4426 ms;2.110 ms;120.55 KB
CreateProduct;Job-CNUJVU;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;1.723 ms;0.0825 ms;0.2368 ms;1.650 ms;113.41 KB
ReadProduct;Job-CNUJVU;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;1.216 ms;0.0609 ms;0.1768 ms;1.234 ms;104.37 KB
UpdateProduct;Job-CNUJVU;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;1.245 ms;0.0417 ms;0.1190 ms;1.247 ms;103.81 KB
DeleteProduct;Job-CNUJVU;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;1.219 ms;0.0361 ms;0.1037 ms;1.226 ms;103.81 KB
CreateOrder;Job-CNUJVU;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;10.512 ms;0.2322 ms;0.6701 ms;10.353 ms;96.04 KB
ReadOrder;Job-CNUJVU;False;Default;Default;Default;Default;Default;Default;111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;1.209 ms;0.0480 ms;0.1369 ms;1.206 ms;106.53 KB
